Price,No. Beds,No. Baths,Area,Type_n,Region_n,Sub-region_n
7500000,3.0,3.0,1300.0,0,66,350
7280000,4.0,4.0,1456.0,0,40,342
13000000,3.0,3.0,1550.0,0,31,75
37000000,3.0,3.0,2669.0,0,4,320
3600000,2.0,2.0,835.0,0,6,406
6800000,3.0,3.0,1260.0,0,40,342
6800000,3.0,3.0,1260.0,0,40,342
5500000,2.0,2.0,750.0,0,56,388
6700000,3.0,2.0,938.0,0,52,449
13500000,3.0,3.0,1455.0,0,63,112
10500000,3.0,3.0,1376.0,0,66,350
6700000,3.0,2.0,938.0,0,52,449
15000000,3.0,3.0,1895.0,0,17,256
18000000,3.0,4.0,1785.0,0,17,256
6700000,3.0,3.0,1300.0,0,40,277
22000000,3.0,4.0,2000.0,0,66,374
7500000,3.0,3.0,1525.0,0,66,350
3900000,3.0,2.0,960.0,0,40,284
12500000,3.0,3.0,1550.0,0,66,351
7500000,3.0,3.0,1525.0,0,66,350
7500000,3.0,3.0,1528.0,0,66,350
7000000,4.0,4.0,1510.0,0,52,105
8250000,3.0,3.0,1980.0,3,39,102
5175000,3.0,3.0,1150.0,0,3,221
5400000,3.0,3.0,1200.0,0,3,221
6000000,3.0,2.0,1050.0,0,66,352
5500000,2.0,3.0,1100.0,0,3,221
5500000,2.0,3.0,1100.0,0,3,221
5500000,2.0,3.0,1100.0,0,3,221
7640000,3.0,3.0,1280.0,0,13,19
7612500,3.0,3.0,1275.0,0,13,19
5500000,2.0,3.0,1100.0,0,3,221
11500000,3.0,3.0,1550.0,0,11,55
5500000,2.0,3.0,1100.0,0,3,221
5500000,2.0,3.0,1100.0,0,3,221
5550000,2.0,2.0,900.0,0,13,19
7640000,3.0,3.0,1280.0,0,13,19
7640000,3.0,3.0,1280.0,0,13,19
4500000,3.0,2.0,970.0,0,59,313
5000000,2.0,2.0,950.0,0,31,125
1200000,2.0,1.0,320.0,0,7,201
1200000,2.0,1.0,320.0,0,7,201
6200000,3.0,3.0,1110.0,0,40,284
6300000,3.0,2.0,950.0,0,29,127
6650000,3.0,3.0,1100.0,0,13,19
4000000,3.0,3.0,3640.0,3,53,136
24000000,3.0,3.0,2184.0,3,45,207
2600000,3.0,3.0,900.0,3,39,102
3500000,3.0,3.0,940.0,0,12,212
65000000,12.0,10.0,6684.0,1,66,369
22000000,16.0,10.0,5400.0,1,60,154
8500000,3.0,4.0,1654.0,0,66,358
12000000,3.0,3.0,1334.0,0,8,58
3800000,2.0,2.0,850.0,0,0,399
3500000,2.0,2.0,750.0,0,0,399
3500000,2.0,2.0,750.0,0,0,399
8500000,3.0,3.0,1650.0,0,3,221
3800000,2.0,2.0,850.0,0,0,399
6000000,3.0,3.0,1200.0,0,20,403
5400000,3.0,3.0,1250.0,0,3,181
6200000,2.0,3.0,1000.0,0,40,85
8500000,3.0,3.0,1500.0,0,43,259
4000000,2.0,2.0,880.0,0,40,450
1975000,2.0,1.0,790.0,0,53,35
2925000,2.0,2.0,650.0,0,7,199
5000000,3.0,2.0,1220.0,0,31,125
5200000,3.0,2.0,1260.0,0,31,125
4300000,3.0,2.0,1050.0,0,31,125
4100000,3.0,2.0,1000.0,0,31,125
4500000,2.0,2.0,1000.0,0,40,413
4500000,2.0,2.0,1000.0,0,40,413
4500000,2.0,2.0,1000.0,0,40,413
4500000,2.0,2.0,1000.0,0,40,413
4500000,2.0,2.0,1000.0,0,40,413
5040000,3.0,2.0,1050.0,0,3,221
5040000,3.0,2.0,1050.0,0,3,221
5040000,3.0,2.0,1050.0,0,3,221
3200000,4.0,2.0,900.0,0,45,207
6800000,3.0,3.0,1300.0,0,3,272
500000,3.0,3.0,1200.0,0,2,438
9500000,3.0,3.0,1300.0,0,63,425
6000000,3.0,3.0,1100.0,0,40,163
17500000,3.0,3.0,2184.0,3,51,374
30000000,3.0,3.0,3640.0,3,51,373
28500000,3.0,3.0,3640.0,3,51,372
15000000,3.0,3.0,2184.0,3,51,370
15000000,3.0,3.0,2184.0,3,51,373
40000000,3.0,3.0,5400.0,3,51,368
4500000,2.0,2.0,975.0,0,40,444
23000000,4.0,4.0,2200.0,0,40,226
5500000,3.0,3.0,1100.0,0,20,403
35000000,5.0,6.0,5000.0,0,20,152
5400000,3.0,3.0,1080.0,0,20,403
6000000,3.0,3.0,1200.0,0,20,403
37000000,3.0,3.0,3244.0,0,8,97
6800000,3.0,3.0,1315.0,0,40,163
4704000,2.0,2.0,980.0,0,2,189
5280000,3.0,2.0,1100.0,0,2,189
5280000,3.0,2.0,1100.0,0,2,189
5280000,3.0,2.0,1100.0,0,2,189
16000000,3.0,3.0,1630.0,0,29,127
10000000,3.0,3.0,1503.0,0,29,114
7000000,3.0,2.0,1060.0,0,38,445
8700000,2.0,2.0,800.0,0,43,259
10000000,3.0,3.0,1550.0,0,11,54
10000000,3.0,3.0,1550.0,0,11,54
42300000,3.0,3.0,2570.0,0,15,326
43500000,3.0,3.0,2640.0,0,15,326
44000000,3.0,3.0,2674.0,0,15,326
6500000,3.0,3.0,1050.0,0,15,439
8500000,3.0,3.0,1278.0,0,29,114
7200000,3.0,3.0,1203.0,0,31,217
4704000,2.0,2.0,980.0,0,2,189
4500000,2.0,2.0,1000.0,0,40,413
13000000,3.0,3.0,1809.0,0,11,56
11000000,3.0,3.0,1530.0,0,66,372
2500000,2.0,1.0,650.0,0,40,163
2500000,2.0,1.0,650.0,0,40,163
2500000,2.0,1.0,650.0,0,40,163
6000000,3.0,2.0,1008.0,0,40,107
16000000,3.0,3.0,1575.0,0,29,79
11500000,3.0,3.0,1440.0,0,17,255
8700000,2.0,2.0,900.0,0,43,259
4000000,2.0,2.0,815.0,0,40,85
9000000,3.0,4.0,1650.0,0,43,276
6700000,3.0,3.0,1115.0,0,0,260
5500000,3.0,3.0,1560.0,0,64,296
25000000,3.0,4.0,2400.0,0,15,304
2500000,2.0,1.0,650.0,0,40,163
2500000,2.0,1.0,650.0,0,40,163
2500000,2.0,1.0,650.0,0,40,163
12000000,3.0,3.0,1450.0,0,66,369
12000000,3.0,3.0,1450.0,0,66,369
5000000,2.0,2.0,950.0,0,40,163
4650000,2.0,2.0,930.0,0,61,117
8500000,3.0,3.0,1650.0,0,3,221
2925000,2.0,2.0,650.0,0,7,199
32000000,3.0,3.0,3640.0,3,38,129
11600000,3.0,3.0,1100.0,0,18,130
37000000,4.0,4.0,2745.0,0,58,395
35000000,3.0,4.0,2572.0,0,50,286
4704000,2.0,2.0,980.0,0,2,189
4704000,2.0,2.0,980.0,0,2,189
5115000,2.0,2.0,930.0,0,61,117
4650000,2.0,2.0,930.0,0,61,117
17000000,3.0,4.0,1550.0,0,58,396
9600000,3.0,3.0,1400.0,0,37,66
14000000,3.0,4.0,1500.0,0,11,54
4704000,2.0,2.0,980.0,0,2,189
4704000,2.0,2.0,980.0,0,2,189
5184000,2.0,2.0,1080.0,0,2,189
8500000,3.0,3.0,1650.0,0,3,221
4200000,1.0,1.0,800.0,0,66,368
16500000,3.0,4.0,2110.0,0,11,49
4800000,2.0,2.0,900.0,0,20,235
9600000,3.0,3.0,1400.0,0,40,343
20504200,3.0,3.0,2374.0,0,11,48
20504200,3.0,3.0,2374.0,0,11,48
4000000,3.0,2.0,1000.0,0,60,96
12400000,3.0,4.0,2000.0,0,11,58
13000000,3.0,3.0,1300.0,0,15,330
24500000,4.0,3.0,2334.0,0,43,400
17500000,4.0,4.0,2400.0,0,50,286
8200000,3.0,3.0,1150.0,0,63,170
3000000,2.0,2.0,800.0,0,40,340
